Steady State
Sim ID,Vout Peak-to-Peak,Vout Average,Inductor Current Peak-To-Peak,Average Freq
14,1.82 mV,4.96 V,0.35 A,569.76 kHz
11,1.82 mV,4.96 V,0.35 A,569.76 kHz
8,2.17 mV,4.96 V,0.43 A,569.07 kHz
5,2.37 mV,4.96 V,0.35 A,569.08 kHz
