Load Transient
Sim ID,Vout Maximum,Vout Minimum,Average Vout @Iout=0.15,Average Vout @Iout=1.5,Overshoot Settle Time,Undershoot Settle Time,Overshoot,Undershoot
10,5.14 V,4.75 V,5.00 V,4.95 V,0.39 ms,0.29 ms,0.24 V,0.20 V
9,5.14 V,4.75 V,5.00 V,4.95 V,0.38 ms,0.29 ms,0.23 V,0.21 V
3,5.25 V,4.66 V,4.95 V,4.96 V,0.27 ms,0.11 ms,0.29 V,0.30 V
