"xVOut2","VOut2","IOut2","xIOut2"
"1.2000000569969416","4.984725475311279","4.000242233276367","1.2000000569969416"
"1.200439059175551","4.993579864501953","3.998812437057495","1.5000032726675272"
"1.2019907590001822","4.981103897094727","3.9979217052459717","1.5000057173892856"
"1.2019978603348136","4.981032848358154","3.840056896209717","1.5004442539066076"
"1.2024414027109742","4.993511199951172","3.8386309146881104","1.5004482120275497"
"1.203990774229169","4.981114387512207","3.283320665359497","1.5019908314570785"
"1.2039978755638003","4.981043338775635","3.282350540161133","1.5019935090094805"
"1.20443943887949","4.9934916496276855","3.2818479537963867","1.5019949059933424"
"1.2057708809152246","4.983152389526367","3.279510259628296","1.5020013088360429"
"1.2059977743774652","4.980996608734131","3.2785961627960205","1.502003869973123"
"1.2064417824149132","4.993494033813477","3.278346300125122","1.502004568465054"
"1.207768451422453","4.983242034912109","3.129265308380127","1.5024186577647924"
"1.207997789606452","4.981073379516602","3.127838373184204","1.5024226158857346"
"1.2084392365068197","4.993526935577393","2.637159585952759","1.5037857228890061"
"1.2097706785425544","4.983212947845459","2.5633206367492676","1.5039907302707434"
"1.2099978048354387","4.981058597564697","2.5630393028259277","1.5039915451779962"
"1.2104387860745192","4.993494510650635","2.5614864826202393","1.5039958525449038"
"1.2115592835471034","4.984893321990967","2.559509754180908","1.5040013240650296"
"1.2119978200644255","4.980992317199707","2.558598518371582","1.5040038852021098"
"1.2124405475333333","4.993461608886719","2.5583481788635254","1.5040045836940408"
"1.2135584838688374","4.984899997711182","2.432203531265259","1.5043549938127398"
"1.2139978352934122","4.981002330780029","2.4314444065093994","1.5043570892885327"
"1.2144389329478145","4.993441104888916","2.4307899475097656","1.504358951933682"
"1.2155580334365368","4.984851837158203","1.843320608139038","1.50599074549973"
"1.215997850522399","4.980942249298096","1.8430392742156982","1.505991560406983"
"1.2164401123300195","4.993403434753418","1.8421305418014526","1.505994121544063"
"1.2175586307421327","4.984829902648926","1.8414862155914307","1.5059958677738905"
"1.2179978657513857","4.980930805206299","1.8407831192016602","1.5059978468343616"
"1.2184403603896499","4.993401050567627","1.8387370109558105","1.506003551185131"
"1.2195592280477285","4.984837532043457","1.8379217386245728","1.5060057630762458"
"1.2199977645650506","4.980947494506836","1.7463297843933105","1.5062602469697595"
"1.220438745804131","4.993382930755615","1.7405239343643188","1.5062763122841716"
"1.221108715981245","4.987560272216797","1.7400312423706055","1.5062777092680335"
"1.2219977797940373","4.980881690979004","1.7394680976867676","1.5062792226672173"
"1.2224400416016579","4.993339538574219","1.123420000076294","1.5079905278980732"
"1.2231100117787719","4.987524032592773","1.1228092908859253","1.5079921577125788"
"1.223997795023024","4.980862617492676","1.1223498582839966","1.5079934382811189"
"1.2244387762621045","4.993295192718506","1.1214845180511475","1.5079958830028772"
"1.2251089792698622","4.987466812133789","1.1207813024520874","1.5079978620633483"
"1.2259978102520108","4.980782985687256","1.1187267303466797","1.5080035664141178"
"1.2264400720596313","4.993239402770996","1.117919921875","1.5080057783052325"
"1.2268859427422285","4.988292217254639","1.050333857536316","1.5081935562193394"
"1.2279978254809976","4.980754375457764","1.049852728843689","1.5081948367878795"
"1.2284390395507216","4.993190288543701","1.0493029356002808","1.5081963501870632"
"1.2288849102333188","4.988237380981445","0.4036000072956085","1.5099899610504508"
"1.2299978407099843","4.980679035186768","0.40342000126838684","1.50999054312706"
"1.2304398696869612","4.993129730224609","0.4028093218803406","1.5099921729415655"
"1.2308856239542365","4.988181114196777","0.40234994888305664","1.5099934535101056"
"1.231997855938971","4.980636119842529","0.4018471837043762","1.5099948504939675"
"1.2324394192546606","4.993078231811523","0.4000000059604645","1.5100004384294152"
"1.23258912935853","4.988823413848877","0.40078797936439514","2.510002115741372"
"1.2339978711679578","4.9805731773376465","0.4012642502784729","2.510003512725234"
"1.2344397837296128","4.993022918701172","0.4018736779689789","2.5100051425397396"
"1.2345159193500876","4.988988876342773","0.5480586886405945","2.510411199182272"
"1.2359977699816227","4.980526924133301","0.5485354661941528","2.510412596166134"
"1.2364411959424615","4.993010997772217","0.549002468585968","2.510413993149996"
"1.2379977852106094","4.980570316314697","1.0432677268981934","2.511786762624979"
"1.238439348526299","4.993021488189697","1.043956995010376","2.511788858100772"
"1.2399978004395962","4.980544567108154","1.116679310798645","2.51199072226882"
"1.2404407607391477","4.99302339553833","1.1171903610229492","2.5119921192526817"
"1.241997815668583","4.980585098266602","1.1176494359970093","2.5119935162365437"
"1.242441707290709","4.993093967437744","1.1185145378112793","2.51199584454298"
"1.2439978308975697","4.980710506439209","1.1192177534103394","2.511997940018773"
"1.2444411404430866","4.99321985244751","1.1204776763916016","2.512001432478428"
"1.2459978461265564","4.980855464935303","1.1207976341247559","2.512002130970359"
"1.246002153493464","4.984445571899414","1.1216602325439453","2.512004692107439"
"1.2464396422728896","4.993334770202637","1.121995210647583","2.5120056234300137"
"1.2479907600209117","4.981006145477295","1.2783347368240356","2.512439852580428"
"1.2479978613555431","4.980935573577881","1.2790619134902954","2.512441948056221"
"1.2484383769333363","4.993375301361084","1.2796272039413452","2.512443345040083"
"1.2499907752498984","4.980981826782227","1.2804021835327148","2.5124456733465195"
"1.249997760169208","4.980911731719971","1.8366798162460327","2.5139907374978065"
"1.250439090654254","4.9933600425720215","1.8374196290969849","2.5139928329735994"
"1.251770299859345","4.9830427169799805","1.8381410837173462","2.5139949284493923"
"1.2519977753981948","4.980885982513428","1.8384417295455933","2.5139956269413233"
"1.2524399207904935","4.99335241317749","1.8390430212020874","2.513997256755829"
"1.253726426512003","4.983438014984131","1.840108036994934","2.5140002835541964"
"1.2539977906271815","4.980899810791016","1.8409266471862793","2.514002611860633"
"1.254440052434802","4.993371486663818","1.84148371219635","2.514004008844495"
"1.2557351728901267","4.983389377593994","1.8426485061645508","2.514007268473506"
"1.2559978058561683","4.980928421020508","1.8433562517166138","2.514009363949299"
"1.2564384378492832","4.993361949920654","2.0218138694763184","2.514505060389638"
"1.2576970038935542","4.983656406402588","2.022059440612793","2.514505758881569"
"1.257997821085155","4.980861663818359","2.4826064109802246","2.5157849304378033"
"1.2584414798766375","4.993359565734863","2.4832959175109863","2.515787025913596"
"1.259740092791617","4.983360290527344","2.5566794872283936","2.5159907527267933"
"1.2599978363141418","4.980945587158203","2.5574254989624023","2.515992848202586"
"1.2604447547346354","4.993534564971924","2.558151960372925","2.515994943678379"
"1.2614005245268345","4.986220359802246","2.55905818939209","2.5159972719848156"
"1.2619978515431285","4.981276035308838","2.5601065158843994","2.516000298783183"
"1.2624377850443125","4.993732929229736","2.561464309692383","2.5160040240734816"
"1.263557351194322","4.985217571258545","2.562624931335449","2.5160072837024927"
"1.2639978667721152","4.981328964233398","2.5633206367492676","2.516009146347642"
"1.2644381495192647","4.993767261505127","2.7736806869506836","2.516593551263213"
"1.26556062605232","4.985188961029053","2.773939609527588","2.516594249755144"
"1.2659977655857801","4.981311321258545","3.276679277420044","2.51799076795578"
"1.2664370005950332","4.99371337890625","3.278156280517578","2.517994958907366"
"1.2671077856794","4.9878764152526855","3.279064178466797","2.5179972872138023"
"1.2679977808147669","4.9811787605285645","3.2801060676574707","2.51800031401217"
"1.26843829639256","4.993592739105225","3.2814524173736572","2.5180040393024683"
"1.2691057054325938","4.987759590148926","3.2826099395751953","2.5180072989314795"
"1.2699977960437536","4.981044769287109","3.2833011150360107","2.5180091615766287"
"1.270438195206225","4.993450164794922","3.52559494972229","2.518682274967432"
"1.2710326118394732","4.9879374504089355","3.5268476009368896","2.518685767427087"
"1.2719978112727404","4.98087739944458","3.9966793060302734","2.5199907831847668"
"1.2724396074190736","4.993312835693359","3.998155117034912","2.5199949741363525"
"1.2728410074487329","4.9884819984436035","3.9990627765655518","2.519997302442789"
